date,group,sensor,frame,frame_index,group_frame_count,actual_bytes,expected_bytes,index_path,pack_path
20260615,group_025,dpct高位机,1781513069_755358326.bin,604,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513069_855318553.bin,605,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513069_955343997.bin,606,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_055337760.bin,607,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_155352804.bin,608,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_255355559.bin,609,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_355392332.bin,610,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_455319565.bin,611,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_555372530.bin,612,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
20260615,group_025,dpct高位机,1781513070_655420311.bin,613,1002,0,1048576,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_025/dpct高位机/Bin/frames.binpack
