date,group,sensor,frame,frame_index,group_frame_count,mean_exponent,group_median_mean_exponent,group_mad_mean_exponent,fraction_exp_ge4,fraction_exp_ge8,fraction_exp_eq15,max_exponent,index_path,pack_path,abs_mean,abs_p99,abs_max
20260615,group_029,dpct高位机,1781515482_722370911.bin,248,1118,2.8280601501464844,0.01825714111328125,5.340576171875e-05,0.266204833984375,0.1884613037109375,0.037872314453125,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1283.86474609375,28690.423828125,46335.29296875
20260615,group_029,dpct高位机,1781515482_822455713.bin,249,1118,2.83465576171875,0.01825714111328125,5.340576171875e-05,0.2686347961425781,0.18909835815429688,0.03955841064453125,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1224.140380859375,27932.03125,46338.12109375
20260615,group_029,dpct高位机,1781515482_922531138.bin,250,1118,2.1323204040527344,0.01825714111328125,5.340576171875e-05,0.2008819580078125,0.14161300659179688,0.02884674072265625,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,950.3220825195312,25180.474609375,46244.78515625
20260615,group_029,dpct高位机,1781515483_527233347.bin,256,1118,2.3645401000976562,0.01825714111328125,5.340576171875e-05,0.2219085693359375,0.15714263916015625,0.032657623291015625,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1059.816650390625,26500.650390625,46329.63671875
20260615,group_029,dpct高位机,1781515483_628932095.bin,257,1118,2.8249969482421875,0.01825714111328125,5.340576171875e-05,0.26613616943359375,0.1880035400390625,0.03916168212890625,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1271.497802734375,28673.126953125,46338.12109375
20260615,group_029,dpct高位机,1781515483_729562612.bin,258,1118,2.8298721313476562,0.01825714111328125,5.340576171875e-05,0.26617431640625,0.1883697509765625,0.039569854736328125,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1280.0333251953125,28744.162109375,46340.94921875
20260615,group_029,dpct高位机,1781515483_829419303.bin,259,1118,2.8311805725097656,0.01825714111328125,5.340576171875e-05,0.26677703857421875,0.1881103515625,0.038990020751953125,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1271.8656005859375,28743.66796875,46295.7109375
20260615,group_029,dpct高位机,1781515483_930071551.bin,260,1118,2.8263015747070312,0.01825714111328125,5.340576171875e-05,0.26615142822265625,0.1878662109375,0.039035797119140625,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1281.2449951171875,28685.7578125,46340.94921875
20260615,group_029,dpct高位机,1781515484_029918636.bin,261,1118,2.8283653259277344,0.01825714111328125,5.340576171875e-05,0.26580810546875,0.18843841552734375,0.03932952880859375,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1278.288818359375,28845.7734375,46295.7109375
20260615,group_029,dpct高位机,1781515484_129863672.bin,262,1118,2.832172393798828,0.01825714111328125,5.340576171875e-05,0.26686859130859375,0.1884918212890625,0.039012908935546875,15,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames_index.npz,/mnt/ssd/Huawei/20260615/data_collection/group_029/dpct高位机/Bin/frames.binpack,1266.615234375,28397.40625,46338.12109375
